start,end,text,,,,,,speaker
169000,172000,Is this the birdie or is this the birdie?,,,,,,id25
172000,173000,Hmm.,,,,,,I
173000,176000,Can we tell [id25] a little bit more about what you see?,,,,,,I
176000,179000,I see a birdie that's flying.,,,,,,id26
179000,181000,She sees a birdie that's flying.,,,,,,I
181000,184000,Could it be this one?,,,,,,id25
184000,189000,"If you think that's your match, we just press it.",,,,,,I
189000,190000,That's okay.,,,,,,I
190000,192000,We'll move on to the next round.,,,,,,I
192000,194000,Thank you guys for helping.,,,,,,I
194000,197000,"Now what do we see, [id25]?",,,,,,I
197000,204000,A person maybe walking-,,,,,,id25
204000,206000,A person that's walking.,,,,,,id26
206000,214000,I see a person that's walking.,,,,,,id26
214000,217000,"It's an interesting one, huh?",,,,,,I
217000,226000,Yeah.,,,,,,I
226000,233000,It kind of looks like...,,,,,,id25
233000,244000,Smurfy wants to make a good guess.,,,,,,I
244000,247000,Maybe it looks like person that doesn't have any arms.,,,,,,id26
247000,249000,Does it look like that?,,,,,,I
249000,250000,Kind of.,,,,,,id25
250000,251000,Kind of.,,,,,,I
251000,255000,It might look like an angel.,,,,,,id26
255000,256000,That's okay.,,,,,,I
256000,259000,We can move on to the next one.,,,,,,I
259000,261000,Thank you guys for communicating.,,,,,,I
261000,262000,There you go.,,,,,,I
262000,268000,Now [id26] what do we see in this black box?,,,,,,I
268000,271000,Why is this the same thing?,,,,,,id26
271000,274000,We'll just describe what we see in the black box.,,,,,,I
274000,276000,What does it look like?,,,,,,I
276000,280000,A person.,,,,,,id26
280000,287000,I don't know if that's a person.,,,,,,id26
287000,291000,It looks like a person but it's not.,,,,,,id26
291000,293000,The one in the black box?,,,,,,I
293000,300000,It looks like a person but it's not.,,,,,,I
300000,301000,That's okay.,,,,,,I
301000,303000,We'll move on to the next one.,,,,,,I
303000,304000,Here you go.,,,,,,I
304000,306000,"You'll be guessing, okay?",,,,,,I
306000,309000,"[id25], what do we see in the black box?",,,,,,I
309000,323000,I don't know if it's a water fountain but it kind of looks like it.,,,,,,id25
323000,327000,It kind of looks like a water fountain.,,,,,,I
327000,333000,"If that's your match, go ahead and press it.",,,,,,I
333000,334000,Great.,,,,,,I
334000,339000,You guys helped Smurfy find the match.,,,,,,I
339000,343000,"[id26], what do we see in the black box now?",,,,,,I
343000,349000,I see a Lego.,,,,,,id26
349000,352000,You see a Lego?,,,,,,I
352000,355000,I don't know if I see a Lego.,,,,,,id25
355000,358000,I don't know what it's that.,,,,,,id26
358000,363000,Why is this not a person without any arms and I don't know what it is?,,,,,,id26
363000,369000,She says it's kind of not a person without any arms.,,,,,,I
369000,370000,Great.,,,,,,I
370000,371000,Yeah.,,,,,,id26
371000,373000,"Okay, there you go.",,,,,,I
373000,376000,"Now [id25], what do we see in the black box?",,,,,,I
376000,379000,It kind of looks like an angel.,,,,,,id25
379000,381000,It kind of looks like an angel.,,,,,,I
381000,382000,Angel.,,,,,,id25
382000,385000,Do you see an angel?,,,,,,I
385000,396000,That looks like an angel to me.,,,,,,id26
396000,399000,"Well, if you think so, press it.",,,,,,I
399000,401000,Great.,,,,,,I
401000,403000,It's an angel.,,,,,,id26
403000,405000,Let's pass it over.,,,,,,I
405000,408000,Now what do we see [id26] in the black box?,,,,,,I
408000,411000,A person holding up plate.,,,,,,id26
411000,414000,A person that's holding up plate.,,,,,,I
414000,417000,Great.,,,,,,I
417000,419000,There you go.,,,,,,I
419000,423000,"[id25], now what do we see?",,,,,,I
423000,425000,There's so much glitter on me.,,,,,,id26
425000,427000,"Oh, is it sand?",,,,,,id26
427000,428000,Maybe sand.,,,,,,I
428000,435000,It kind of looks like someone flying a plane without a cover.,,,,,,id25
435000,437000,"If you have a match, tap it.",,,,,,I
437000,439000,Great.,,,,,,I
439000,441000,There you go.,,,,,,I
441000,445000,"Now [id26], what do we see in the black box?",,,,,,I
445000,449000,I see an angel.,,,,,,id26
449000,451000,She sees an angel.,,,,,,I
451000,454000,Great.,,,,,,I
454000,457000,Now what do we see [id25]?,,,,,,I
457000,466000,A person that kind of looks sad without any arms walking away from maybe.,,,,,,id25
466000,469000,Great.,,,,,,I
469000,471000,There you go.,,,,,,I
471000,473000,Now what do we see [id26]?,,,,,,I
473000,481000,"I see a person that's flying a plane, but the person is flying a plane.",,,,,,id26
481000,483000,Great.,,,,,,I
483000,486000,There you go.,,,,,,I
486000,489000,Now what do we see [id25]?,,,,,,I
489000,493000,Kind of looks like someone building a funnel.,,,,,,id25
493000,496000,Someone building a funnel.,,,,,,I
496000,500000,Great.,,,,,,I
500000,503000,There you go.,,,,,,I
503000,505000,And we are done with the game.,,,,,,I
505000,507000,Thank you guys so much for playing with us.,,,,,,I
507000,508000,What about the ice cream?,,,,,,id26
508000,510000,I mean the cake.,,,,,,id26
510000,512000,The cake?,,,,,,I
512000,514000,The cake that we made last time.,,,,,,id26
514000,516000,The cake that we made last time.,,,,,,I
516000,518000,The cake that we made last time.,,,,,,I
518000,520000,The cake that we made last time.,,,,,,I
520000,525000,"Oh, we were building a strawberry cherry cake.",,,,,,I
525000,528000,We're going to make a cake again.,,,,,,id25
528000,530000,I will turn the camera off now.,,,,,,I
530000,532000,Do you guys want to say bye bye?,,,,,,I
532000,556000,Bye bye.,,,,,,I
